   4.4000000e+03   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   4.3748814e+03   2.5118589e+01   2.5097083e+01   3.4509801e-01   1.0808535e+00   5.8708250e-02
   4.3497628e+03   5.0237178e+01   5.0194167e+01   6.9019602e-01   0.0000000e+00   5.8708250e-02
   4.3243470e+03   7.5653034e+01   7.5588262e+01   1.0393781e+00   0.0000000e+00   5.8708250e-02
   4.2997407e+03   1.0025932e+02   1.0016678e+02   1.3802652e+00   0.0000000e+00   5.8708250e-02
   4.2745673e+03   1.2543266e+02   1.2470458e+02   2.2016186e+00   0.0000000e+00   5.8708250e-02
   4.2496679e+03   1.5033212e+02   1.4651764e+02   4.5853337e+00   0.0000000e+00   5.8708250e-02
   4.2245932e+03   1.7540677e+02   1.6683274e+02   7.7771871e+00   1.6783384e-02   5.8846994e-02
   4.1999939e+03   2.0000612e+02   1.8379247e+02   2.0336256e+01   0.0000000e+00   5.8846994e-02
   4.1749959e+03   2.2500411e+02   1.9413043e+02   3.9089539e+01   0.0000000e+00   5.8846994e-02
   4.1499867e+03   2.5001328e+02   2.0743293e+02   4.8908394e+01   0.0000000e+00   5.8846994e-02
   4.1249955e+03   2.7500454e+02   2.2155372e+02   5.6937295e+01   0.0000000e+00   5.8846994e-02
   4.0999936e+03   3.0000641e+02   2.3536953e+02   6.4416375e+01   0.0000000e+00   5.8846994e-02
   4.0749705e+03   3.2502953e+02   2.4702306e+02   7.2202351e+01   0.0000000e+00   5.8846994e-02
   4.0499873e+03   3.5001270e+02   2.5711192e+02   7.8898594e+01   0.0000000e+00   5.8846994e-02
   4.0249901e+03   3.7500988e+02   2.6682945e+02   8.4089458e+01   0.0000000e+00   5.8846994e-02
   3.9999839e+03   4.0001612e+02   2.7697510e+02   8.8391377e+01   0.0000000e+00   5.8846994e-02
   3.9749874e+03   4.2501256e+02   2.8794358e+02   9.2241380e+01   0.0000000e+00   5.8846994e-02
   3.9499582e+03   4.5004177e+02   3.0008639e+02   9.6109413e+01   0.0000000e+00   5.8846994e-02
